2023-10-16/18:38:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:23		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:23		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:23		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:23		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:24		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:24		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:24		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:25		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:25		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:25		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:25		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:25		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:26		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:26		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:26		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:26		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:26		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:27		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:27		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:27		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:27		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:28		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:28		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:28		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:28		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:29		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:29		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:29		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:30		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:30		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:30		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:30		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:30		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:31		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:31		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:31		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:31		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:32		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:32		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:32		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:32		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:32		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:33		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:33		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:33		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:33		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:34		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:34		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:34		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:34		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:34		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:35		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:35		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:35		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:35		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:36		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:36		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:36		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:36		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:37		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:37		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:37		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:37		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:38		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:38		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:38		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:38		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:39		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:39		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:39		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:39		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:40		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:40		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:40		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:40		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:40		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:41		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:41		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:41		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:41		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:42		 wafer_23012020_041211.csv: File loaded successfully!!
